event_episode_id,event_type,ddr_wellbore_id,usrop_well_id,onset_md,horizon_m,cutoff_md,join_status,reason
EP_V2_424,Tight Hole,NO 15/9-19 ST2,,4408.0,100,4308.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_463,Pack-off,NO 15/9-F-1,,2596.0,25,2571.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_463,Pack-off,NO 15/9-F-1,,2596.0,50,2546.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_463,Pack-off,NO 15/9-F-1,,2596.0,100,2496.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_464,Pack-off,NO 15/9-F-1,,3632.0,25,3607.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_464,Pack-off,NO 15/9-F-1,,3632.0,50,3582.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_464,Pack-off,NO 15/9-F-1,,3632.0,100,3532.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_476,Tight Hole,NO 15/9-F-1,,2570.0,25,2545.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_476,Tight Hole,NO 15/9-F-1,,2570.0,50,2520.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_476,Tight Hole,NO 15/9-F-1,,2570.0,100,2470.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_478,Tight Hole,NO 15/9-F-1,,3255.0,25,3230.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_478,Tight Hole,NO 15/9-F-1,,3255.0,50,3205.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_478,Tight Hole,NO 15/9-F-1,,3255.0,100,3155.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_539,Equipment Failure,NO 15/9-F-1 B,,1314.0,25,1289.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_539,Equipment Failure,NO 15/9-F-1 B,,1314.0,50,1264.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_539,Equipment Failure,NO 15/9-F-1 B,,1314.0,100,1214.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_555,Stuck Pipe,NO 15/9-F-1 B,,0.0,25,,REJECTED_NO_ONSET,onset_md is null or zero
EP_V2_555,Stuck Pipe,NO 15/9-F-1 B,,0.0,50,,REJECTED_NO_ONSET,onset_md is null or zero
EP_V2_555,Stuck Pipe,NO 15/9-F-1 B,,0.0,100,,REJECTED_NO_ONSET,onset_md is null or zero
EP_V2_605,Equipment Failure,NO 15/9-F-1 C,,1487.0,25,1462.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_605,Equipment Failure,NO 15/9-F-1 C,,1487.0,50,1437.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_605,Equipment Failure,NO 15/9-F-1 C,,1487.0,100,1387.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_611,Equipment Failure,NO 15/9-F-1 C,,2931.0,25,2906.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_611,Equipment Failure,NO 15/9-F-1 C,,2931.0,50,2881.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_611,Equipment Failure,NO 15/9-F-1 C,,2931.0,100,2831.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_637,Equipment Failure,NO 15/9-F-1 C,,715.0,25,690.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_637,Equipment Failure,NO 15/9-F-1 C,,715.0,50,665.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_637,Equipment Failure,NO 15/9-F-1 C,,715.0,100,615.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_659,Pack-off,NO 15/9-F-1 C,,3059.0,25,3034.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_659,Pack-off,NO 15/9-F-1 C,,3059.0,50,3009.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_659,Pack-off,NO 15/9-F-1 C,,3059.0,100,2959.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_681,Stuck Pipe,NO 15/9-F-1 C,,2362.0,25,2337.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_681,Stuck Pipe,NO 15/9-F-1 C,,2362.0,50,2312.0,UNRESOLVED_NO_WELL,Not in USROP
